Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment,Prediction
4976.246532,21109577771,87684076419.0,17620525,17620525,0.58,5.19,22.6,4962.36,4962.36,4962.36,19-04-03-10-05,0.07810958700000001,4990.4927
4976.246532,21109577771,87684076419.0,17620525,17620525,0.58,5.19,22.6,4964.19,4964.19,4964.19,19-04-03-10-06,0.082182621,4990.7446
4976.246532,21109577771,87684076419.0,17620525,17620525,0.58,5.19,22.6,4967.31,4967.31,4967.31,19-04-03-10-07,0.083684696,4990.9824
4980.050674,21130738042,87751107407.0,17620525,17620525,0.54,5.21,22.69,4963.79,4963.79,4963.79,19-04-03-10-08,0.079027819,4991.223
4980.050674,21130738042,87751107407.0,17620525,17620525,0.54,5.21,22.69,4963.19,4963.19,4963.19,19-04-03-10-09,0.07306191,4991.484
4986.674158,21134438350,87867816670.0,17620525,17620525,0.67,5.35,22.85,4963.43,4963.43,4963.43,19-04-03-10-10,0.079648828,4991.7954
4986.674158,21134438350,87867816670.0,17620525,17620525,0.67,5.35,22.85,4964.86,4964.86,4964.86,19-04-03-10-11,0.084246529,4992.188
4986.674158,21134438350,87867816670.0,17620525,17620525,0.67,5.35,22.85,4963.53,4963.53,4963.53,19-04-03-10-12,0.09246492,4992.69
4985.817558,21141542129,87852722930.0,17620525,17620525,0.55,5.28,22.83,4961.87,4961.87,4961.87,19-04-03-10-13,0.091414182,4993.3135
4985.817558,21141542129,87852722930.0,17620525,17620525,0.55,5.28,22.83,4960.14,4960.14,4960.14,19-04-03-10-14,0.088773165,4994.053
4986.888019,21130344390,87871585006.0,17620525,17620525,0.57,5.3,22.85,4960.14,4960.14,4960.14,19-04-03-10-15,0.08921207,4994.897
4986.888019,21130344390,87871585006.0,17620525,17620525,0.57,5.3,22.85,4960.14,4960.14,4960.14,19-04-03-10-16,0.083591195,4995.8286
4986.888019,21130344390,87871585006.0,17620525,17620525,0.57,5.3,22.85,4957.0,4957.0,4957.0,19-04-03-10-17,0.094044571,4996.832
4985.291379,21113811560,87843451381.0,17620525,17620525,0.53,5.22,22.81,4953.38,4953.38,4953.38,19-04-03-10-18,0.085602909,4997.8926
4985.291379,21113811560,87843451381.0,17620525,17620525,0.53,5.22,22.81,4950.31,4950.31,4950.31,19-04-03-10-19,0.09374684900000001,4998.98
4978.115906,21106548648,87717015769.0,17620525,17620525,0.38,5.07,22.63,4948.58,4948.58,4948.58,19-04-03-10-20,0.095296435,5000.0684
4978.115906,21106548648,87717015769.0,17620525,17620525,0.38,5.07,22.63,4948.58,4948.58,4948.58,19-04-03-10-21,0.10115473400000001,5001.1245
4978.115906,21106548648,87717015769.0,17620525,17620525,0.38,5.07,22.63,4948.53,4948.53,4948.53,19-04-03-10-22,0.10101945300000001,5002.1
4973.368519,21106081797,87633364321.0,17620525,17620525,0.3,4.92,22.51,4948.53,4948.53,4948.53,19-04-03-10-23,0.09957808900000001,5002.948
4973.368519,21106081797,87633364321.0,17620525,17620525,0.3,4.92,22.51,4946.14,4946.14,4946.14,19-04-03-10-24,0.100971666,5003.6357
4973.368519,21106081797,87633364321.0,17620525,17620525,0.3,4.92,22.51,4948.09,4948.09,4948.09,19-04-03-10-25,0.10279562,5004.1387
4969.812777,21097245831,87570710279.0,17620525,17620525,0.23,4.84,22.43,4948.61,4948.61,4948.61,19-04-03-10-26,0.111815795,5004.4443
4969.812777,21097245831,87570710279.0,17620525,17620525,0.23,4.84,22.43,4943.0,4943.0,4943.0,19-04-03-10-27,0.113086429,5004.5513
4966.5639710000005,21070962883,87513464612.0,17620525,17620525,0.17,4.72,22.34,4943.0,4943.0,4943.0,19-04-03-10-28,0.1106922,5004.454
4966.5639710000005,21070962883,87513464612.0,17620525,17620525,0.17,4.72,22.34,4943.0,4943.0,4943.0,19-04-03-10-29,0.110386889,5004.158
4966.5639710000005,21070962883,87513464612.0,17620525,17620525,0.17,4.72,22.34,4931.82,4931.82,4931.82,19-04-03-10-30,0.113576315,5003.6763
4966.31195,21061449228,87509023872.0,17620525,17620525,0.16,4.72,22.34,4937.6,4937.6,4937.6,19-04-03-10-31,0.113360001,5003.032
4966.31195,21061449228,87509023872.0,17620525,17620525,0.16,4.72,22.34,4937.6,4937.6,4937.6,19-04-03-10-32,0.10709585099999999,5002.252
4962.778379,21060024502,87446760493.0,17620525,17620525,0.08,4.59,22.25,4941.67,4941.67,4941.67,19-04-03-10-33,0.108896182,5001.364
4962.778379,21060024502,87446760493.0,17620525,17620525,0.08,4.59,22.25,4940.38,4940.38,4940.38,19-04-03-10-34,0.10601336800000001,5000.407
4962.778379,21060024502,87446760493.0,17620525,17620525,0.08,4.59,22.25,4941.76,4941.76,4941.76,19-04-03-10-35,0.09942422,4999.406
4960.598287,21064820340,87408346129.0,17620525,17620525,0.04,4.54,22.19,4941.76,4941.76,4941.76,19-04-03-10-36,0.100580264,4998.3813
4960.598287,21064820340,87408346129.0,17620525,17620525,0.04,4.54,22.19,4940.62,4940.62,4940.62,19-04-03-10-37,0.100580264,4997.356
4961.351374,21069918323,87421615911.0,17620525,17620525,0.0,4.51,22.21,4941.2,4941.2,4941.2,19-04-03-10-38,0.100580264,4996.3394
4961.351374,21069918323,87421615911.0,17620525,17620525,0.0,4.51,22.21,4942.32,4942.32,4942.32,19-04-03-10-39,0.101619869,4995.335
4961.351374,21069918323,87421615911.0,17620525,17620525,0.0,4.51,22.21,4943.84,4943.84,4943.84,19-04-03-10-40,0.08634258,4994.3467
4962.328378,21072018636,87438831235.0,17620525,17620525,0.02,4.53,22.23,4947.72,4947.72,4947.72,19-04-03-10-41,0.073789414,4993.3804
4962.328378,21072018636,87438831235.0,17620525,17620525,0.02,4.53,22.23,4948.12,4948.12,4948.12,19-04-03-10-42,0.079031339,4992.457
4963.914556000001,21084527651,87466780530.0,17620525,17620525,0.01,4.51,22.27,4947.85,4947.85,4947.85,19-04-03-10-43,0.09204023900000001,4991.608
4963.914556000001,21084527651,87466780530.0,17620525,17620525,0.01,4.51,22.27,4947.61,4947.61,4947.61,19-04-03-10-44,0.08486431300000001,4990.845
4963.914556000001,21084527651,87466780530.0,17620525,17620525,0.01,4.51,22.27,4947.96,4947.96,4947.96,19-04-03-10-45,0.08486431300000001,4990.1597
4966.157537,21086201297,87506303037.0,17620525,17620525,0.06,4.55,22.32,4946.98,4946.98,4946.98,19-04-03-10-46,0.083475424,4989.548
4966.157537,21086201297,87506303037.0,17620525,17620525,0.06,4.55,22.32,4943.67,4943.67,4943.67,19-04-03-10-47,0.07830791,4989.0103
4965.283355,21088148924,87490899497.0,17620525,17620525,0.0,4.48,22.3,4946.98,4946.98,4946.98,19-04-03-10-48,0.082003813,4988.553
4965.283355,21088148924,87490899497.0,17620525,17620525,0.0,4.48,22.3,4943.94,4943.94,4943.94,19-04-03-10-49,0.086912596,4988.188
4965.283355,21088148924,87490899497.0,17620525,17620525,0.0,4.48,22.3,4944.19,4944.19,4944.19,19-04-03-10-50,0.083232764,4987.9146
4965.305372,21092080530,87491287442.0,17620525,17620525,0.0,4.48,22.3,4941.68,4941.68,4941.68,19-04-03-10-51,0.074662688,4987.7207
4965.305372,21092080530,87491287442.0,17620525,17620525,0.0,4.48,22.3,4941.05,4941.05,4941.05,19-04-03-10-52,0.071638534,4987.597
4964.083064,21076848737,87469749728.0,17620525,17620525,-0.09,4.41,22.26,4941.22,4941.22,4941.22,19-04-03-10-53,0.072283456,4987.5425
4964.083064,21076848737,87469749728.0,17620525,17620525,-0.09,4.41,22.26,4940.36,4940.36,4940.36,19-04-03-10-54,0.079850506,4987.555
4964.083064,21076848737,87469749728.0,17620525,17620525,-0.09,4.41,22.26,4940.36,4940.36,4940.36,19-04-03-10-55,0.07697694299999999,4987.621
4963.234677,21074437575,87454800703.0,17620525,17620525,-0.1,4.4,22.24,4934.28,4934.28,4934.28,19-04-03-10-56,0.082925027,4987.7144
4963.234677,21074437575,87454800703.0,17620525,17620525,-0.1,4.4,22.24,4931.68,4931.68,4931.68,19-04-03-10-57,0.084151448,4987.8145
4961.469687,21061038978,87423700664.0,17620525,17620525,-0.21,4.32,22.2,4929.72,4929.72,4929.72,19-04-03-10-58,0.100748014,4987.8994
4961.469687,21061038978,87423700664.0,17620525,17620525,-0.21,4.32,22.2,4930.13,4930.13,4930.13,19-04-03-10-59,0.10597490400000001,4987.953
4961.469687,21061038978,87423700664.0,17620525,17620525,-0.21,4.32,22.2,4933.23,4933.23,4933.23,19-04-03-11-00,0.128572266,4987.948
