Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment
4967.226204,21138002634,87525133500,17620525,17620525,0.67,5.11,22.39,4956.88,4956.88,4956.88,19-04-03-09-56,0.073429467
4967.226204,21138002634,87525133500,17620525,17620525,0.67,5.11,22.39,4958.69,4958.69,4958.69,19-04-03-09-57,0.075734998
4964.532856,21157689286,87477675311,17620525,17620525,0.46,4.99,22.32,4957.06,4957.06,4957.06,19-04-03-09-58,0.074893498
4964.532856,21157689286,87477675311,17620525,17620525,0.46,4.99,22.32,4957.06,4957.06,4957.06,19-04-03-09-59,0.072524272
4969.202654,21189176740,87559959588,17620525,17620525,0.56,5.09,22.43,4960.53,4960.53,4960.53,19-04-03-10-00,0.075241664
4969.202654,21189176740,87559959588,17620525,17620525,0.56,5.09,22.43,4960.77,4960.77,4960.77,19-04-03-10-01,0.062783229
4969.202654,21189176740,87559959588,17620525,17620525,0.56,5.09,22.43,4959.15,4959.15,4959.15,19-04-03-10-02,0.060005451
4971.19415,21138703691,87595050805,17620525,17620525,0.47,5.08,22.48,4961.91,4961.91,4961.91,19-04-03-10-03,0.07351306
4971.19415,21138703691,87595050805,17620525,17620525,0.47,5.08,22.48,4960.37,4960.37,4960.37,19-04-03-10-04,0.068511659
4976.246532,21109577771,87684076419,17620525,17620525,0.58,5.19,22.6,4962.36,4962.36,4962.36,19-04-03-10-05,0.078109587
4976.246532,21109577771,87684076419,17620525,17620525,0.58,5.19,22.6,4964.19,4964.19,4964.19,19-04-03-10-06,0.082182621
4976.246532,21109577771,87684076419,17620525,17620525,0.58,5.19,22.6,4967.31,4967.31,4967.31,19-04-03-10-07,0.083684696
4980.050674,21130738042,87751107407,17620525,17620525,0.54,5.21,22.69,4963.79,4963.79,4963.79,19-04-03-10-08,0.079027819
4980.050674,21130738042,87751107407,17620525,17620525,0.54,5.21,22.69,4963.19,4963.19,4963.19,19-04-03-10-09,0.07306191
4986.674158,21134438350,87867816670,17620525,17620525,0.67,5.35,22.85,4963.43,4963.43,4963.43,19-04-03-10-10,0.079648828
4986.674158,21134438350,87867816670,17620525,17620525,0.67,5.35,22.85,4964.86,4964.86,4964.86,19-04-03-10-11,0.084246529
4986.674158,21134438350,87867816670,17620525,17620525,0.67,5.35,22.85,4963.53,4963.53,4963.53,19-04-03-10-12,0.09246492
4985.817558,21141542129,87852722930,17620525,17620525,0.55,5.28,22.83,4961.87,4961.87,4961.87,19-04-03-10-13,0.091414182
4985.817558,21141542129,87852722930,17620525,17620525,0.55,5.28,22.83,4960.14,4960.14,4960.14,19-04-03-10-14,0.088773165
4986.888019,21130344390,87871585006,17620525,17620525,0.57,5.3,22.85,4960.14,4960.14,4960.14,19-04-03-10-15,0.08921207
4986.888019,21130344390,87871585006,17620525,17620525,0.57,5.3,22.85,4960.14,4960.14,4960.14,19-04-03-10-16,0.083591195
4986.888019,21130344390,87871585006,17620525,17620525,0.57,5.3,22.85,4957,4957,4957,19-04-03-10-17,0.094044571
4985.291379,21113811560,87843451381,17620525,17620525,0.53,5.22,22.81,4953.38,4953.38,4953.38,19-04-03-10-18,0.085602909
4985.291379,21113811560,87843451381,17620525,17620525,0.53,5.22,22.81,4950.31,4950.31,4950.31,19-04-03-10-19,0.093746849
4978.115906,21106548648,87717015769,17620525,17620525,0.38,5.07,22.63,4948.58,4948.58,4948.58,19-04-03-10-20,0.095296435
4978.115906,21106548648,87717015769,17620525,17620525,0.38,5.07,22.63,4948.58,4948.58,4948.58,19-04-03-10-21,0.101154734
4978.115906,21106548648,87717015769,17620525,17620525,0.38,5.07,22.63,4948.53,4948.53,4948.53,19-04-03-10-22,0.101019453
4973.368519,21106081797,87633364321,17620525,17620525,0.3,4.92,22.51,4948.53,4948.53,4948.53,19-04-03-10-23,0.099578089
4973.368519,21106081797,87633364321,17620525,17620525,0.3,4.92,22.51,4946.14,4946.14,4946.14,19-04-03-10-24,0.100971666
4973.368519,21106081797,87633364321,17620525,17620525,0.3,4.92,22.51,4948.09,4948.09,4948.09,19-04-03-10-25,0.10279562
4969.812777,21097245831,87570710279,17620525,17620525,0.23,4.84,22.43,4948.61,4948.61,4948.61,19-04-03-10-26,0.111815795
4969.812777,21097245831,87570710279,17620525,17620525,0.23,4.84,22.43,4943,4943,4943,19-04-03-10-27,0.113086429
4966.563971,21070962883,87513464612,17620525,17620525,0.17,4.72,22.34,4943,4943,4943,19-04-03-10-28,0.1106922
